City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
151,Kuah,6.3265,99.8432,82.38,83,20,3.44,MY
152,Hamilton,39.1834,-84.5333,56.77,93,100,9.22,US
153,Souillac,-20.5167,57.5167,77.38,88,40,3.44,MU
154,Mestec Kralove,50.2072,15.2976,57.69,81,100,5.55,CZ
155,Tenkodogo,11.78,-0.3697,84.33,47,98,5.35,BF
156,Hirara,24.8,125.2833,78.66,88,75,10.36,JP
157,Westport,41.1415,-73.3579,58.33,89,0,9.22,US
158,Mandan,46.8267,-100.8896,24.78,98,0,10.36,US
159,Fredericksburg,38.3032,-77.4605,79.34,49,0,17.27,US
160,Simao,22.7886,100.9748,72.97,36,63,4.07,CN
161,Abha,18.2164,42.5053,57.45,67,0,4.61,SA
162,Taoudenni,22.6783,-3.9836,76.06,17,0,10.27,ML
163,Hilo,19.7297,-155.09,82.27,78,40,17.27,US
164,Codrington,-38.2667,141.9667,65.73,54,7,16.06,AU
165,Calafat,43.9911,22.9328,49.69,72,65,0.98,RO
166,Cuamba,-14.8031,36.5372,66.0,99,93,1.5,MZ
167,Ankang,32.68,109.0172,46.04,74,100,4.12,CN
168,Mahebourg,-20.4081,57.7,77.29,88,40,3.44,MU
169,Padang,-0.9492,100.3543,80.65,82,100,3.4,ID
170,Boende,-0.2167,20.8667,69.71,99,100,1.61,CD
171,Saint George,37.1041,-113.5841,52.39,57,40,9.22,US
172,Provideniya,64.3833,-173.3,8.71,61,40,7.0,RU
173,Pisco,-13.7,-76.2167,73.45,83,75,12.66,PE
174,Kumluca,36.3703,30.2869,59.04,68,99,3.51,TR
175,Waipawa,-41.4122,175.5153,60.33,56,15,3.06,NZ
176,Marsaxlokk,35.8419,14.5431,57.07,87,0,3.44,MT
177,Richards Bay,-28.783,32.0377,71.37,92,100,4.65,ZA
178,Lloydminster,53.2835,-110.0016,34.02,64,0,8.05,CA
179,Teguise,29.0605,-13.564,61.02,82,0,9.22,ES
180,Bayan,46.0833,127.4,32.18,45,20,7.52,CN
181,Vardo,70.3705,31.1107,8.58,66,100,28.77,NO
182,Kaitangata,-46.2817,169.8464,59.74,62,100,5.28,NZ
183,Tuktoyaktuk,69.4541,-133.0374,15.8,67,20,19.57,CA
184,Kurmanayevka,52.5093,52.0675,38.16,81,6,3.42,RU
185,Hamburg,53.55,10.0,51.66,89,40,12.66,DE
186,Port Lincoln,-34.7333,135.8667,67.06,65,100,7.23,AU
187,Shache,38.4167,77.2406,50.38,24,2,3.98,CN
188,Kiboga,0.9161,31.7742,60.76,98,100,3.51,UG
189,Avarua,-21.2078,-159.775,84.25,74,100,8.05,CK
190,Katsuura,35.1333,140.3,69.67,80,100,13.65,JP
191,Bathsheba,13.2167,-59.5167,79.41,73,20,16.11,BB
192,Palora,-1.7,-77.9333,66.65,95,99,3.36,EC
193,Sitka,57.0531,-135.33,39.09,81,75,4.61,US
194,Pringsewu,-5.3582,104.9744,80.74,84,61,1.63,ID
195,Elmadag,39.9208,33.2308,40.35,92,14,2.51,TR
196,Taber,49.8167,-112.1518,44.6,71,56,10.36,CA
197,Esperance,-33.8667,121.9,72.66,72,70,13.18,AU
198,Preobrazheniye,42.9019,133.9064,38.1,38,1,3.78,RU
199,Cherskiy,68.75,161.3,-9.13,92,100,5.84,RU
200,Windhoek,-22.5594,17.0832,57.42,56,0,3.44,NA
201,Kandrian,-6.2167,149.55,90.18,52,52,6.02,PG
202,Oranjemund,-28.55,16.4333,60.55,80,0,7.7,NA
203,Iranshahr,27.2025,60.6848,59.76,46,0,3.47,IR
204,Iki-Burul,45.8208,44.6472,47.43,51,93,4.43,RU
205,Roald,62.5833,6.1333,42.75,93,100,21.85,NO
206,Katherine,-14.4667,132.2667,91.72,52,71,10.36,AU
207,Port Elizabeth,-33.918,25.5701,72.1,92,100,14.97,ZA
208,Talnakh,69.4865,88.3972,13.21,91,100,17.92,RU
209,College,64.8569,-147.8028,30.52,70,75,12.66,US
210,Sandwick,60.0,-1.25,37.22,93,37,0.0,GB
211,Karaton,-6.3424,106.1045,84.58,62,30,1.95,ID
212,Lar,26.2039,83.9717,74.88,35,0,3.76,IN
213,Baykit,61.67,96.37,25.03,94,100,8.86,RU
214,Upernavik,72.7868,-56.1549,-14.66,92,74,5.59,GL
215,Otjimbingwe,-22.35,16.1333,59.34,48,0,2.55,NA
216,Nizwa,22.9333,57.5333,61.88,38,1,2.24,OM
